filename,rate_hz,shape,timestamp
empty_00051.npy,216.88,"(50, 64)",1788670359.763447
empty_00052.npy,216.59,"(50, 64)",1788670359.9969387
empty_00053.npy,212.70,"(50, 64)",1788670360.2296073
empty_00054.npy,209.91,"(50, 64)",1788670360.462328
empty_00055.npy,205.77,"(50, 64)",1788670360.7010214
empty_00056.npy,191.94,"(50, 64)",1788670360.9498572
empty_00057.npy,221.33,"(50, 64)",1788670361.185155
empty_00058.npy,203.87,"(50, 64)",1788670361.4274576
empty_00059.npy,214.85,"(50, 64)",1788670361.6650627
empty_00060.npy,227.24,"(50, 64)",1788670361.8938978
empty_00061.npy,213.30,"(50, 64)",1788670362.1278827
empty_00062.npy,220.18,"(50, 64)",1788670363.2577927
empty_00063.npy,212.51,"(50, 64)",1788670363.491859
empty_00064.npy,214.40,"(50, 64)",1788670363.7264555
empty_00065.npy,211.69,"(50, 64)",1788670363.9586782
empty_00066.npy,214.76,"(50, 64)",1788670364.1948974
empty_00067.npy,218.84,"(50, 64)",1788670364.4266765
empty_00068.npy,219.53,"(50, 64)",1788670364.6619031
empty_00069.npy,202.91,"(50, 64)",1788670364.8941565
empty_00070.npy,209.09,"(50, 64)",1788670365.1261253
empty_00071.npy,209.03,"(50, 64)",1788670365.3573048
empty_00072.npy,209.59,"(50, 64)",1788670365.5918398
empty_00073.npy,218.48,"(50, 64)",1788670365.8255627
empty_00074.npy,211.08,"(50, 64)",1788670366.0586686
empty_00075.npy,213.90,"(50, 64)",1788670366.2927575
empty_00076.npy,220.86,"(50, 64)",1788670366.5241992
empty_00077.npy,206.55,"(50, 64)",1788670366.7587626
empty_00078.npy,217.06,"(50, 64)",1788670366.9890175
empty_00079.npy,225.58,"(50, 64)",1788670367.2214751
empty_00080.npy,193.30,"(50, 64)",1788670367.4939098
empty_00081.npy,171.30,"(50, 64)",1788670367.796374
empty_00082.npy,169.24,"(50, 64)",1788670368.1016872
empty_00083.npy,164.02,"(50, 64)",1788670368.4129202
empty_00084.npy,181.02,"(50, 64)",1788670368.7213292
empty_00085.npy,155.17,"(50, 64)",1788670369.0395908
empty_00086.npy,161.74,"(50, 64)",1788670369.335451
empty_00087.npy,167.95,"(50, 64)",1788670369.6374831
empty_00088.npy,166.49,"(50, 64)",1788670369.9352796
empty_00089.npy,141.90,"(50, 64)",1788670370.2745385
empty_00090.npy,159.79,"(50, 64)",1788670370.5764132
empty_00091.npy,149.70,"(50, 64)",1788670370.902999
empty_00092.npy,176.49,"(50, 64)",1788670371.2052817
empty_00093.npy,165.04,"(50, 64)",1788670371.5075893
empty_00094.npy,156.29,"(50, 64)",1788670371.8285983
empty_00095.npy,161.40,"(50, 64)",1788670372.1335108
empty_00096.npy,161.84,"(50, 64)",1788670372.4423392
empty_00097.npy,173.20,"(50, 64)",1788670372.7450175
empty_00098.npy,159.79,"(50, 64)",1788670373.7540853
empty_00099.npy,161.77,"(50, 64)",1788670375.158076
empty_00000.npy,197.94,"(50, 64)",1788703366.6920474
empty_00001.npy,212.43,"(50, 64)",1788703366.9597912
empty_00002.npy,177.24,"(50, 64)",1788703367.238835
empty_00003.npy,183.74,"(50, 64)",1788703367.5100975
empty_00004.npy,166.31,"(50, 64)",1788703367.8106017
empty_00005.npy,171.89,"(50, 64)",1788703368.1101847
empty_00006.npy,155.96,"(50, 64)",1788703368.4451709
empty_00007.npy,166.55,"(50, 64)",1788703368.7394772
empty_00008.npy,169.88,"(50, 64)",1788703369.031285
empty_00009.npy,166.07,"(50, 64)",1788703369.3205092
empty_00010.npy,185.48,"(50, 64)",1788703369.606219
empty_00011.npy,167.95,"(50, 64)",1788703369.905323
empty_00012.npy,174.49,"(50, 64)",1788703370.197465
empty_00013.npy,178.69,"(50, 64)",1788703370.4790776
empty_00014.npy,163.67,"(50, 64)",1788703370.7749596
empty_00015.npy,171.08,"(50, 64)",1788703371.0660777
empty_00016.npy,169.70,"(50, 64)",1788703371.3601265
empty_00017.npy,170.11,"(50, 64)",1788703371.6513686
empty_00018.npy,164.62,"(50, 64)",1788703371.948159
empty_00019.npy,166.84,"(50, 64)",1788703372.2389324
empty_00020.npy,167.05,"(50, 64)",1788703372.5315497
empty_00021.npy,178.39,"(50, 64)",1788703372.8210058
empty_00022.npy,175.53,"(50, 64)",1788703373.1091127
empty_00023.npy,181.32,"(50, 64)",1788703373.3954237
empty_00024.npy,167.16,"(50, 64)",1788703373.6862278
empty_00025.npy,178.78,"(50, 64)",1788703373.969557
empty_00026.npy,190.06,"(50, 64)",1788703374.2505202
empty_00027.npy,192.20,"(50, 64)",1788703374.5225713
empty_00028.npy,192.52,"(50, 64)",1788703374.799964
empty_00029.npy,173.15,"(50, 64)",1788703375.0867577
empty_00030.npy,189.64,"(50, 64)",1788703375.3513458
empty_00031.npy,176.48,"(50, 64)",1788703375.6352642
empty_00032.npy,175.06,"(50, 64)",1788703375.9218729
empty_00033.npy,182.29,"(50, 64)",1788703376.1949685
empty_00034.npy,188.67,"(50, 64)",1788703376.473502
empty_00035.npy,185.61,"(50, 64)",1788703376.740918
empty_00036.npy,195.47,"(50, 64)",1788703377.0125258
empty_00037.npy,199.32,"(50, 64)",1788703377.298677
empty_00038.npy,174.59,"(50, 64)",1788703377.579264
empty_00039.npy,173.76,"(50, 64)",1788703377.8667192
empty_00040.npy,182.59,"(50, 64)",1788703378.1573284
empty_00041.npy,162.27,"(50, 64)",1788703378.448937
empty_00042.npy,147.53,"(50, 64)",1788703378.8013368
empty_00043.npy,172.31,"(50, 64)",1788703379.1071603
empty_00044.npy,199.90,"(50, 64)",1788703379.4090667
empty_00045.npy,171.56,"(50, 64)",1788703379.700167
empty_00046.npy,161.35,"(50, 64)",1788703379.991949
empty_00047.npy,175.91,"(50, 64)",1788703380.2882974
empty_00048.npy,182.95,"(50, 64)",1788703380.5693657
empty_00049.npy,161.62,"(50, 64)",1788703380.8646731
empty_00050.npy,164.43,"(50, 64)",1788703381.160379
empty_00051.npy,166.86,"(50, 64)",1788703381.465305
empty_00052.npy,173.11,"(50, 64)",1788703381.7518334
empty_00053.npy,178.63,"(50, 64)",1788703382.0400739
empty_00054.npy,180.29,"(50, 64)",1788703382.3322976
empty_00055.npy,172.56,"(50, 64)",1788703382.6206026
empty_00056.npy,164.77,"(50, 64)",1788703382.9099426
empty_00057.npy,170.00,"(50, 64)",1788703383.198479
empty_00058.npy,180.06,"(50, 64)",1788703383.4795883
empty_00059.npy,177.24,"(50, 64)",1788703383.768659
empty_00060.npy,186.21,"(50, 64)",1788703384.0469995
empty_00061.npy,179.41,"(50, 64)",1788703384.3346238
empty_00062.npy,173.88,"(50, 64)",1788703384.6212282
empty_00063.npy,183.21,"(50, 64)",1788703384.9096313
empty_00064.npy,170.07,"(50, 64)",1788703385.201298
empty_00065.npy,187.75,"(50, 64)",1788703385.4799852
empty_00066.npy,156.56,"(50, 64)",1788703385.7772372
empty_00067.npy,170.87,"(50, 64)",1788703386.0715325
empty_00068.npy,163.84,"(50, 64)",1788703386.3694553
empty_00069.npy,170.64,"(50, 64)",1788703386.6636558
empty_00070.npy,175.88,"(50, 64)",1788703386.949457
empty_00071.npy,164.46,"(50, 64)",1788703387.24963
empty_00072.npy,183.39,"(50, 64)",1788703387.5385764
empty_00073.npy,179.25,"(50, 64)",1788703387.8186636
empty_00074.npy,186.90,"(50, 64)",1788703388.1002722
empty_00075.npy,186.99,"(50, 64)",1788703388.3957953
empty_00076.npy,176.36,"(50, 64)",1788703388.6826177
empty_00077.npy,177.63,"(50, 64)",1788703388.9789805
empty_00078.npy,167.42,"(50, 64)",1788703389.2672062
empty_00079.npy,166.02,"(50, 64)",1788703389.5804946
empty_00080.npy,179.89,"(50, 64)",1788703389.8694615
empty_00081.npy,164.80,"(50, 64)",1788703390.1717985
empty_00082.npy,181.87,"(50, 64)",1788703390.4586952
empty_00083.npy,178.01,"(50, 64)",1788703390.7471764
empty_00084.npy,174.10,"(50, 64)",1788703391.0277736
empty_00085.npy,180.21,"(50, 64)",1788703391.3143334
empty_00086.npy,167.92,"(50, 64)",1788703391.6119604
empty_00087.npy,168.29,"(50, 64)",1788703391.914367
empty_00088.npy,173.29,"(50, 64)",1788703392.200621
empty_00089.npy,172.83,"(50, 64)",1788703392.489532
empty_00090.npy,160.70,"(50, 64)",1788703392.785498
empty_00091.npy,165.43,"(50, 64)",1788703393.072689
empty_00092.npy,182.19,"(50, 64)",1788703393.3495798
empty_00093.npy,168.84,"(50, 64)",1788703393.6394484
empty_00094.npy,174.01,"(50, 64)",1788703393.924501
empty_00095.npy,168.56,"(50, 64)",1788703394.2102203
empty_00096.npy,178.99,"(50, 64)",1788703394.4921114
empty_00097.npy,180.51,"(50, 64)",1788703394.7751577
empty_00098.npy,190.98,"(50, 64)",1788703395.055433
empty_00099.npy,190.16,"(50, 64)",1788703395.321293
